lenguaje,repos_count,porcentaje
Python,369,36.9
TypeScript,219,21.9
LLMs/AI,75,7.5
JavaScript,66,6.6
Go,52,5.2
Rust,30,3.0
Jupyter Notebook,24,2.4
Kotlin,18,1.8
C++,18,1.8
Shell,17,1.7
