repo_name,stars,contributors,language,engagement_ratio,contributors_per_1k_stars,expected_contributors,contributors_delta_vs_trend,outlier_score,trend_bucket,snapshot_date_utc
resemble-ai/chatterbox,23615,16,Python,0.000678,0.678,54.261,-38.261,-0.352235,near_trend,2026-03-17
BloopAI/vibe-kanban,23344,57,Rust,0.002442,2.442,53.231,3.769,0.034696,near_trend,2026-03-17
toon-format/toon,23326,35,TypeScript,0.0015,1.5,53.163,-18.163,-0.167207,near_trend,2026-03-17
vercel-labs/agent-skills,23212,17,JavaScript,0.000732,0.732,52.729,-35.729,-0.328926,near_trend,2026-03-17
davila7/claude-code-templates,23096,56,Python,0.002425,2.425,52.288,3.712,0.034169,near_trend,2026-03-17
vercel-labs/agent-browser,23082,83,Rust,0.003596,3.596,52.235,30.765,0.283222,near_trend,2026-03-17
DayuanJiang/next-ai-draw-io,23007,46,TypeScript,0.001999,1.999,51.95,-5.95,-0.054777,near_trend,2026-03-17
deepseek-ai/DeepSeek-OCR,22712,1,Python,4.4e-05,0.044,50.829,-49.829,-0.458725,near_trend,2026-03-17
a2aproject/A2A,22598,135,Shell,0.005974,5.974,50.395,84.605,0.778874,near_trend,2026-03-17
VectifyAI/PageIndex,22088,8,Python,0.000362,0.362,48.457,-40.457,-0.372447,near_trend,2026-03-17
ZhuLinsen/daily_stock_analysis,21900,54,Python,0.002466,2.466,47.742,6.258,0.05761,near_trend,2026-03-17
oraios/serena,21660,140,Python,0.006464,6.464,46.83,93.17,0.857729,near_trend,2026-03-17
SuperClaude-Org/SuperClaude_Framework,21595,42,Python,0.001945,1.945,46.583,-4.583,-0.042189,near_trend,2026-03-17
charmbracelet/crush,21543,102,Go,0.004735,4.735,46.385,55.615,0.511993,near_trend,2026-03-17
ruvnet/ruflo,21518,19,TypeScript,0.000883,0.883,46.29,-27.29,-0.251233,near_trend,2026-03-17
PicoTrex/Awesome-Nano-Banana-images,21426,8,Sin especificar,0.000373,0.373,45.94,-37.94,-0.34928,near_trend,2026-03-17
OpenListTeam/OpenList,21386,233,Go,0.010895,10.895,45.788,187.212,1.723479,above_trend,2026-03-17
basecamp/omarchy,21248,363,Shell,0.017084,17.084,45.264,317.736,2.925094,above_trend,2026-03-17
googleworkspace/cli,21195,38,Rust,0.001793,1.793,45.062,-7.062,-0.065015,near_trend,2026-03-17
usestrix/strix,21010,23,Python,0.001095,1.095,44.359,-21.359,-0.196632,near_trend,2026-03-17
winfunc/opcode,20979,14,TypeScript,0.000667,0.667,44.241,-30.241,-0.278401,near_trend,2026-03-17
QwenLM/qwen-code,20691,362,TypeScript,0.017496,17.496,43.146,318.854,2.93538,above_trend,2026-03-17
garrytan/gstack,20361,2,TypeScript,9.8e-05,0.098,41.892,-39.892,-0.367247,near_trend,2026-03-17
enescingoz/awesome-n8n-templates,20240,10,Sin especificar,0.000494,0.494,41.432,-31.432,-0.289364,near_trend,2026-03-17
coze-dev/coze-studio,20195,62,TypeScript,0.00307,3.07,41.261,20.739,0.190924,near_trend,2026-03-17
openai/gpt-oss,19919,61,Python,0.003062,3.062,40.212,20.788,0.191377,near_trend,2026-03-17
dyad-sh/dyad,19905,24,TypeScript,0.001206,1.206,40.159,-16.159,-0.148757,near_trend,2026-03-17
TibixDev/winboat,19555,34,TypeScript,0.001739,1.739,38.828,-4.828,-0.044448,near_trend,2026-03-17
ayangweb/BongoCat,19459,16,TypeScript,0.000822,0.822,38.463,-22.463,-0.206797,near_trend,2026-03-17
steveyegge/beads,19266,313,Go,0.016246,16.246,37.73,275.27,2.534151,above_trend,2026-03-17
nari-labs/dia,19197,21,Python,0.001094,1.094,37.467,-16.467,-0.151599,near_trend,2026-03-17
stan-smith/FossFLOW,19139,30,TypeScript,0.001567,1.567,37.247,-7.247,-0.066715,near_trend,2026-03-17
agentsmd/agents.md,19063,20,TypeScript,0.001049,1.049,36.958,-16.958,-0.156115,near_trend,2026-03-17
iOfficeAI/AionUi,19017,64,TypeScript,0.003365,3.365,36.783,27.217,0.25056,near_trend,2026-03-17
humanlayer/12-factor-agents,18777,16,TypeScript,0.000852,0.852,35.871,-19.871,-0.182931,near_trend,2026-03-17
hsliuping/TradingAgents-CN,18766,19,Python,0.001012,1.012,35.829,-16.829,-0.154928,near_trend,2026-03-17
google/adk-python,18409,258,Python,0.014015,14.015,34.472,223.528,2.057809,above_trend,2026-03-17
NirDiamant/agents-towards-production,18279,24,Jupyter Notebook,0.001313,1.313,33.978,-9.978,-0.091856,near_trend,2026-03-17
shanraisshan/claude-code-best-practice,18126,4,HTML,0.000221,0.221,33.396,-29.396,-0.270622,near_trend,2026-03-17
virattt/dexter,18006,18,TypeScript,0.001,1.0,32.94,-14.94,-0.137538,near_trend,2026-03-17
google-gemini/gemini-fullstack-langgraph-quickstart,18002,15,Jupyter Notebook,0.000833,0.833,32.925,-17.925,-0.165016,near_trend,2026-03-17
TecharoHQ/anubis,17805,160,Go,0.008986,8.986,32.176,127.824,1.176754,above_trend,2026-03-17
astral-sh/ty,17741,40,Python,0.002255,2.255,31.933,8.067,0.074268,near_trend,2026-03-17
HKUDS/CLI-Anything,17724,24,Python,0.001354,1.354,31.868,-7.868,-0.072434,near_trend,2026-03-17
AlexsJones/llmfit,17519,38,Rust,0.002169,2.169,31.089,6.911,0.063625,near_trend,2026-03-17
router-for-me/CLIProxyAPI,17417,126,Go,0.007234,7.234,30.701,95.299,0.877326,near_trend,2026-03-17
