repo_name,language,stars,forks,created_at,description
AmanVarshney01/create-better-t-stack,TypeScript,4551,241,2025-02-10T17:06:23Z,A modern CLI tool for scaffolding end-to-end type-safe TypeScript projects with best practices and c
cloudflare/vibesdk,TypeScript,4495,1027,2025-08-25T15:07:31Z,"An open-source vibe coding platform that helps you build your own vibe-coding platform, built entire"
apple/embedding-atlas,TypeScript,4483,242,2025-05-07T00:56:44Z,Embedding Atlas is a tool that provides interactive visualizations for large embeddings. It allows y
opencloud-eu/opencloud,Go,4473,159,2025-01-10T12:55:41Z,"🌤️ OpenCloud is the open source platform for file management, sharing and collaboration. Simple and "
IRS-Public/direct-file,JavaScript,4471,1355,2025-05-19T16:46:38Z,Direct File
anthropics/claude-code-action,TypeScript,4453,1301,2025-05-19T15:26:50Z,
huggingface/nanoVLM,Python,4451,434,2025-05-02T18:08:12Z,"The simplest, fastest repository for training/finetuning small-sized VLMs."
CoplayDev/unity-mcp,C#,4441,585,2025-03-18T11:01:58Z,An MCP server that allows MCP clients like Claude Desktop or Cursor to perform actions in the Unity 
YouMind-OpenLab/awesome-nano-banana-pro-prompts,TypeScript,4434,413,2025-11-23T07:17:48Z,"🍌 1000+ selected Nano Banana Pro prompts with images, multilingual support, and instant gallery prev"
VoltAgent/voltagent,TypeScript,4423,411,2025-04-16T15:41:18Z,Open Source TypeScript AI Agent Framework with built-in LLM Observability
VectifyAI/PageIndex,Jupyter Notebook,4423,341,2025-04-01T10:53:54Z,📑 PageIndex: Document Index for Reasoning-based RAG
MoonshotAI/Kimi-Audio,Python,4419,322,2025-04-25T10:00:18Z,"Kimi-Audio, an open-source audio foundation model excelling in audio understanding, generation, and "
dtyq/magic,PHP,4418,457,2025-05-14T22:04:29Z,Super Magic. The first open-source all-in-one AI productivity platform (Generalist AI Agent + Workfl
bellard/mquickjs,C,4418,150,2025-12-22T14:20:32Z,Public repository of the Micro QuickJS Javascript Engine
MatrixSeven/file-transfer-go,TypeScript,4397,565,2025-07-28T10:11:01Z,Go/React开发的端到端webrtc的文件传输/文字传输/桌面共享，安全，隐私，数据不经过服务器。
virattt/dexter,TypeScript,4375,582,2025-10-14T21:02:00Z,An autonomous agent for deep financial research
psviderski/unregistry,Go,4371,75,2025-06-03T01:48:51Z,Push docker images directly to remote servers without an external registry
Vector-Wangel/XLeRobot,Python,4360,450,2025-04-26T02:27:05Z,XLeRobot: Practical Dual-Arm Mobile Home Robot for $660
microsoft/BASIC-M6502,Assembly,4346,482,2025-07-16T17:24:03Z,Microsoft BASIC for 6502 Microprocessor - Version 1.1
hiyouga/EasyR1,Python,4334,334,2025-02-22T04:17:31Z,"EasyR1: An Efficient, Scalable, Multi-Modality RL Training Framework based on veRL"
nicotsx/zerobyte,TypeScript,4297,102,2025-08-09T08:58:56Z,Backup automation for self-hosters. Built on top of restic
neuphonic/neutts-air,Python,4297,451,2025-10-02T12:48:55Z,On-device TTS model by Neuphonic
rowboatlabs/rowboat,TypeScript,4293,366,2025-01-13T09:30:40Z,"Local-first, open-source tools for automating everyday work."
u14app/deep-research,JavaScript,4275,1047,2025-02-22T03:29:07Z,Use any LLMs (Large Language Models) for Deep Research. Support SSE API and MCP server.
MrLesk/Backlog.md,TypeScript,4270,218,2025-06-04T19:43:33Z,Backlog.md - A tool for managing project collaboration between humans and AI Agents in a git ecosyst
oomol-lab/pdf-craft,Python,4267,267,2025-02-12T06:10:59Z,PDF craft can convert PDF files into various other formats. This project will focus on processing PD
rdev/liquid-glass-react,TypeScript,4235,279,2025-06-10T22:48:35Z,Apple's Liquid Glass effect for React
permissionlesstech/bitchat-android,Kotlin,4218,581,2025-07-08T18:36:23Z,"bluetooth mesh chat, IRC vibes"
hotheadhacker/seedbox-lite,JavaScript,4215,301,2025-08-09T14:00:22Z,A light-weight torrent media center at one place.
ading2210/linuxpdf,C,4183,165,2025-01-14T19:36:42Z,Linux running inside a PDF file via a RISC-V emulator
