tecnologia,total_preguntas,respuestas_aceptadas,tasa_aceptacion_pct
reactjs,1369,340,24.84
vue.js,270,69,25.56
angular,1014,292,28.8
next.js,754,127,16.84
svelte,81,28,34.57
