tecnologia,total_preguntas,respuestas_aceptadas,tasa_aceptacion_pct
reactjs,2072,517,24.95
vue.js,395,97,24.56
angular,1446,430,29.74
next.js,1104,197,17.84
svelte,131,48,36.64
