framework,repo,commits_2025,active_contributors,merged_prs,closed_issues,releases_count,commits_prev,delta_commits,growth_pct,trend_direction,ranking
Next.js,vercel/next.js,5000,296,4948,2068,617,,,,,1
Angular,angular/angular,4261,266,2599,2028,150,,,,,2
React,facebook/react,1116,84,1106,797,22,,,,,3
Svelte,sveltejs/svelte,976,112,994,691,187,,,,,4
Vue 3,vuejs/core,418,90,752,389,39,,,,,5
