lenguaje,repos_count,porcentaje
Python,878,31.82
TypeScript,733,26.57
JavaScript,212,7.68
Rust,202,7.32
Go,155,5.62
Swift,91,3.3
Shell,89,3.23
HTML,84,3.04
C,48,1.74
Kotlin,45,1.63
