repo_name,stars,contributors,language,engagement_ratio,contributors_per_1k_stars,expected_contributors,contributors_delta_vs_trend,outlier_score,trend_bucket,snapshot_date_utc
router-for-me/CLIProxyAPI,34700,190,Go,0.005476,5.476,45.759,144.241,0.694887,near_trend,2026-05-25
Hmbown/CodeWhale,34540,98,Rust,0.002837,2.837,45.199,52.801,0.254372,near_trend,2026-05-25
vercel-labs/agent-browser,34250,105,Rust,0.003066,3.066,44.184,60.816,0.292984,near_trend,2026-05-25
luongnv89/claude-howto,34138,20,Python,0.000586,0.586,43.792,-23.792,-0.114619,near_trend,2026-05-25
github/awesome-copilot,33766,389,Python,0.01152,11.52,42.49,346.51,1.669323,above_trend,2026-05-25
kepano/obsidian-skills,32938,14,Sin especificar,0.000425,0.425,39.593,-25.593,-0.123293,near_trend,2026-05-25
multica-ai/multica,32911,129,TypeScript,0.00392,3.92,39.498,89.502,0.431178,near_trend,2026-05-25
zeroclaw-labs/zeroclaw,31572,315,Rust,0.009977,9.977,34.812,280.188,1.349813,above_trend,2026-05-25
hesamsheikh/awesome-openclaw-usecases,31187,24,Sin especificar,0.00077,0.77,33.465,-9.465,-0.045599,near_trend,2026-05-25
coreyhaines31/marketingskills,30415,20,JavaScript,0.000658,0.658,30.764,-10.764,-0.051854,near_trend,2026-05-25
pbakaus/impeccable,30090,24,JavaScript,0.000798,0.798,29.626,-5.626,-0.027105,near_trend,2026-05-25
Yeachan-Heo/oh-my-codex,29562,70,TypeScript,0.002368,2.368,27.779,42.221,0.203403,near_trend,2026-05-25
Alishahryar1/free-claude-code,29455,31,Python,0.001052,1.052,27.404,3.596,0.017323,near_trend,2026-05-25
lbjlaq/Antigravity-Manager,29395,50,Rust,0.001701,1.701,27.194,22.806,0.109868,near_trend,2026-05-25
nanocoai/nanoclaw,29382,130,TypeScript,0.004424,4.424,27.149,102.851,0.49549,near_trend,2026-05-25
sipeed/picoclaw,29161,216,Go,0.007407,7.407,26.375,189.625,0.913523,near_trend,2026-05-25
Lum1104/Understand-Anything,29135,40,TypeScript,0.001373,1.373,26.284,13.716,0.066076,near_trend,2026-05-25
jamiepine/voicebox,28311,45,TypeScript,0.001589,1.589,23.401,21.599,0.104055,near_trend,2026-05-25
Gitlawb/openclaude,27726,114,TypeScript,0.004112,4.112,21.354,92.646,0.446327,near_trend,2026-05-25
anthropics/claude-plugins-official,27650,33,Python,0.001193,1.193,21.088,11.912,0.057388,near_trend,2026-05-25
tinyhumansai/openhuman,27559,111,Rust,0.004028,4.028,20.769,90.231,0.43469,near_trend,2026-05-25
davila7/claude-code-templates,27556,80,Python,0.002903,2.903,20.759,59.241,0.285397,near_trend,2026-05-25
anthropics/financial-services,27444,9,Python,0.000328,0.328,20.367,-11.367,-0.05476,near_trend,2026-05-25
hsliuping/TradingAgents-CN,27306,19,Python,0.000696,0.696,19.884,-0.884,-0.004258,near_trend,2026-05-25
vercel-labs/agent-skills,27071,23,JavaScript,0.00085,0.85,19.061,3.939,0.018974,near_trend,2026-05-25
AlexsJones/llmfit,26665,66,Rust,0.002475,2.475,17.641,48.359,0.232972,near_trend,2026-05-25
apple/container,26619,89,Swift,0.003343,3.343,17.48,71.52,0.344551,near_trend,2026-05-25
googleworkspace/cli,26547,43,Rust,0.00162,1.62,17.228,25.772,0.124158,near_trend,2026-05-25
mvanhorn/last30days-skill,26512,48,Python,0.001811,1.811,17.105,30.895,0.148836,near_trend,2026-05-25
BloopAI/vibe-kanban,26499,62,Rust,0.00234,2.34,17.06,44.94,0.216501,near_trend,2026-05-25
iOfficeAI/AionUi,26482,93,TypeScript,0.003512,3.512,17.0,76.0,0.366131,near_trend,2026-05-25
firecrawl/open-lovable,26469,11,TypeScript,0.000416,0.416,16.955,-5.955,-0.028688,near_trend,2026-05-25
virattt/dexter,26453,21,TypeScript,0.000794,0.794,16.899,4.101,0.019757,near_trend,2026-05-25
Crosstalk-Solutions/project-nomad,26277,26,TypeScript,0.000989,0.989,16.283,9.717,0.046812,near_trend,2026-05-25
permissionlesstech/bitchat,25966,47,Swift,0.00181,1.81,15.195,31.805,0.153223,near_trend,2026-05-25
shiyu-coder/Kronos,25918,19,Python,0.000733,0.733,15.027,3.973,0.019142,near_trend,2026-05-25
K-Dense-AI/scientific-agent-skills,25783,41,Python,0.00159,1.59,14.554,26.446,0.127403,near_trend,2026-05-25
xai-org/x-algorithm,25776,1,Rust,3.9e-05,0.039,14.53,-13.53,-0.06518,near_trend,2026-05-25
usestrix/strix,25589,37,Python,0.001446,1.446,13.875,23.125,0.111404,near_trend,2026-05-25
tobi/qmd,25551,77,TypeScript,0.003014,3.014,13.742,63.258,0.304746,near_trend,2026-05-25
zai-org/Open-AutoGLM,25358,13,Python,0.000513,0.513,13.067,-0.067,-0.000323,near_trend,2026-05-25
Leey21/awesome-ai-research-writing,25298,3,Sin especificar,0.000119,0.119,12.857,-9.857,-0.047486,near_trend,2026-05-25
QwenLM/qwen-code,24652,420,TypeScript,0.017037,17.037,10.596,409.404,1.972316,above_trend,2026-05-25
volcengine/OpenViking,24636,158,Python,0.006413,6.413,10.54,147.46,0.710392,near_trend,2026-05-25
openai/symphony,24585,5,Elixir,0.000203,0.203,10.362,-5.362,-0.025831,near_trend,2026-05-25
toon-format/toon,24366,40,TypeScript,0.001642,1.642,9.596,30.404,0.146475,near_trend,2026-05-25
HKUDS/DeepTutor,24295,66,Python,0.002717,2.717,9.347,56.653,0.272927,near_trend,2026-05-25
